Region1,Region2,Fisher_Correlation
1,110,0.867964494439835
1,111,0.870149981553119
1,112,0.979983338824399
1,113,0.185998253358162
1,114,0.0047384512197429
1,115,0.444892619592842
1,116,0.295502966784216
1,117,0.431932891479934
1,118,0.259845539299859
1,119,0.22291072440708
1,120,-0.0188318679033591
1,121,0.235223827016567
1,122,0.110907799861032
1,123,-0.0115732516560653
1,124,0.675300597318474
1,125,0.665728238082184
1,126,0.510528734264262
1,127,0.398435102406066
1,128,0.665908982315639
1,129,0.694896072624151
1,130,0.158304160876546
1,131,1.29433332614543
1,132,0.73006749012995
1,133,0.81567633843722
1,134,0.563595156957845
1,135,-0.0750715801532075
1,136,0.301018462517811
1,137,0.117752405837655
1,138,0.0372661972579594
1,139,0.289270506142519
1,140,0.496869778571923
1,141,-0.183047294602259
1,142,0.518997026471395
1,143,0.00476434570656821
1,144,0.22590190331146
1,145,0.770140466847624
1,146,0.401773825234889
1,147,0.46256218338965
1,148,0.340493330723818
1,149,0.293046165967189
1,150,0.3352310141511
1,151,0.331096360407314
1,152,-0.0248624139528204
1,153,-0.131937796600021
1,154,0.00464372559070304
1,155,0.0522167893436898
1,156,0.425368503443796
1,157,0.346455456429535
1,158,1.10530349901962
1,159,0.845927414963524
1,160,0.429029673853197
1,161,1.05648592585233
1,162,0.890482441835251
1,163,0.685631495011572
1,164,0.791425994449593
1,165,-0.135420489453342
1,166,0.0194871780696205
1,167,0.0784573554289898
1,168,0.183131002463503
1,169,0.136025565937895
1,170,-0.196381769186465
1,171,-0.277502500856676
1,172,-0.198264453334138
1,173,-0.0666940282892103
1,174,0.00111064110818002
1,175,0.0824326853601907
1,176,0.214678455154759
1,177,0.518736781328954
1,178,0.0055869123781671
1,179,0.348439207536384
1,180,0.0726873276911736
1,181,0.393546431640304
1,182,0.307956760271383
1,183,0.121730798317264
1,184,0.25086039299689
1,185,0.191596765905989
1,186,0.454475085001861
1,187,0.474879996835638
1,188,-0.136858145988874
1,189,-0.170322623025613
1,190,-0.269948265568811
1,191,0.981035924802992
1,192,-0.0106228675902363
1,193,0.526081990867597
1,194,0.622461747649465
1,195,1.11207275010389
1,196,1.15409732603597
1,197,0.586775791109658
1,198,0.455795619919847
1,199,0.635448691029046
1,200,0.78715811166321
2,1,0.549159883013437
2,2,Inf
2,3,0.912380539403277
2,4,0.659515406936417
2,5,0.756957831367807
2,6,0.703323440431362
2,7,0.221221724035279
2,8,0.478401464634834
2,9,0.427645437784327
2,10,0.929902826418418
2,11,0.694940286184466
2,12,0.745341498401008
2,13,0.519110013940912
2,14,-0.0213180886578617
2,15,0.118159005085523
2,16,0.228601995956673
2,17,0.234924398064592
2,18,0.202184783489982
2,19,0.442066429838276
2,20,0.27108231860108
2,21,0.542253935488217
2,22,0.279274072199861
2,23,0.182742273122078
2,24,0.458601605144811
2,25,0.221963148102933
2,26,0.264913477351462
2,27,0.151438302163538
2,28,0.159053204083158
2,29,0.358298314551908
2,30,0.703893494867301
2,31,0.359723967005785
2,32,0.903047894811704
2,33,0.840391615348658
2,34,0.390928235876325
2,35,0.117931975553781
2,36,0.184154931030388
2,37,0.329463479061126
2,38,0.328271220596621
2,39,0.366455241911609
2,40,0.270855816156952
2,41,0.559684984938007
2,42,0.333795708888978
2,43,0.528090189653916
2,44,0.64086653157817
2,45,0.61635152263436
2,46,0.60705104602328
2,47,0.316737484505965
2,48,0.477058827167742
2,49,0.389880687717138
2,50,0.412052383217696
2,51,0.570114140592344
2,52,0.556850106793288
2,53,0.316720054515503
2,54,0.297838755075327
2,55,0.258537780344017
2,56,0.552151742603909
2,57,0.301153346022647
2,58,0.540179970476137
2,59,0.325907761100127
2,60,0.425665544959888
2,61,0.607572480116497
2,62,0.429467196768497
2,63,0.435969748201207
2,64,0.430905517041174
2,65,0.677070892597493
2,66,0.0947277497860072
2,67,0.751935805450998
2,68,0.306124941825905
2,69,0.546398801918401
2,70,0.223992387417727
2,71,0.405148449728887
2,72,0.895496981656999
2,73,1.02778618583465
2,74,0.543311908411946
2,75,0.628396885960832
2,76,0.524754242381011
2,77,0.780209930411243
2,78,0.639809642285664
2,79,0.787708314460144
2,80,0.34987391287199
2,81,0.367775591243078
2,82,0.59360429483645
2,83,0.280868318402954
2,84,0.634478513702965
2,85,0.699157209961187
2,86,0.538738118029185
2,87,0.527982126509958
2,88,0.518182725168404
2,89,0.500300118839279
2,90,0.598988592808217
2,91,0.582763596365128
2,92,0.567024008535708
2,93,0.443201002141792
2,94,0.445429892213417
2,95,0.48917204490643
2,96,0.266944941326299
2,97,0.409909650590628
2,98,0.317196454842636
2,99,0.201570075608488
2,100,0.359460172391714
2,101,0.568489597295773
2,102,0.72193155563345
2,103,1.07300386877531
2,104,0.768387632041903
2,105,0.605501965577066
2,106,0.796756553682298
2,107,0.288210250972906
2,108,0.233707210236415
2,109,0.785838537871417
2,110,0.315980855524175
2,111,0.513537768843758
2,112,0.448944868620802
2,113,-0.0915914455130318
2,114,0.1958519482704
2,115,0.448476447768375
2,116,0.0733696277105971
2,117,0.247679865841727
2,118,0.158739115280672
2,119,0.115719462618614
