Region1,Region2,Median_Correlation
1,116,0.285988249230197
1,117,0.400249077027561
1,118,0.23944488527776
1,119,0.360942900797176
1,120,0.25980816533884
1,121,0.510016038390991
1,122,0.391431426317269
1,123,0.378123684894287
1,124,0.292102024609881
1,125,0.377221463826997
1,126,0.302600949012561
1,127,0.434644454267935
1,128,0.290966970587865
1,129,0.317231179347025
1,130,0.211844682437584
1,131,0.66264975212109
1,132,0.52029721730759
1,133,0.602071601226645
1,134,0.668360516308208
1,135,0.461717560548641
1,136,0.584918559535722
1,137,0.355429014867856
1,138,0.374545859014392
1,139,0.600498038160379
1,140,0.421319343188772
1,141,0.302307944849099
1,142,0.435996445658837
1,143,0.21128030603815
1,144,0.268302402674887
1,145,0.272956553751828
1,146,0.206402766284729
1,147,0.46855685258948
1,148,0.453205964246761
1,149,0.5921127187309
1,150,0.452066672442764
1,151,0.281394164323276
1,152,0.203687033176492
1,153,0.234621185051298
1,154,0.225749231873028
1,155,0.157690684635948
1,156,0.232330639637083
1,157,0.0986502909736463
1,158,0.42518644597573
1,159,0.190410684317954
1,160,0.166024687970937
1,161,0.216594897858125
1,162,0.322497752348471
1,163,0.344395763586165
1,164,0.551407591778188
1,165,0.45207960574409
1,166,0.374246031824581
1,167,0.245012859573447
1,168,0.223691486868902
1,169,0.174099957501832
1,170,0.280685509533744
1,171,0.163623449226305
1,172,0.389724515885094
1,173,0.368070579844067
1,174,0.314248357834173
1,175,0.192344302405749
1,176,0.234487266263282
1,177,0.31014498870065
1,178,0.26612518512193
1,179,0.423707704009908
1,180,0.229573965089506
1,181,0.632700570107769
1,182,0.586574832955843
1,183,0.539714442684251
1,184,0.470242880283448
1,185,0.222993893311912
1,186,0.615661323416544
1,187,0.174961212189537
1,188,0.14835029096391
1,189,0.244743365202472
1,190,0.281720241862581
1,191,0.20309208972963
1,192,0.271311405916307
1,193,0.219050501388012
1,194,0.442514983639346
1,195,0.656883858690004
1,196,0.515827335066519
1,197,0.180111385597657
1,198,0.412553493850096
1,199,0.415162289898622
1,200,0.425675024262119
2,1,0.743476176697767
2,2,1
2,3,0.731740094339423
2,4,0.744647598574677
2,5,0.682093323963276
2,6,0.523874089196421
2,7,0.496677251133861
2,8,0.451877413472235
2,9,0.393387588473318
2,10,0.458382746241141
2,11,0.391366666448358
2,12,0.573399268100673
2,13,0.379562304813774
2,14,0.358447786589661
2,15,0.312265072162634
2,16,0.325677883273374
2,17,0.415176509111205
2,18,0.277256073864279
2,19,0.433291329642888
2,20,0.379141346163812
2,21,0.353546591125504
2,22,0.411850507752362
2,23,0.342484896009775
2,24,0.36612069039364
2,25,0.336918828637285
2,26,0.348541374725089
2,27,0.317426768638325
2,28,0.329699992813229
2,29,0.649910927456006
2,30,0.719169294314885
2,31,0.489387597084898
2,32,0.471672430418692
2,33,0.527874155030203
2,34,0.505793022480155
2,35,0.352428142505675
2,36,0.378005159975361
2,37,0.416881812728045
2,38,0.476059913672381
2,39,0.316402092592403
2,40,0.294472239119294
2,41,0.397826045856053
2,42,0.268615100664315
2,43,0.287385441271689
2,44,0.459700016768802
2,45,0.412936612360753
2,46,0.366141668227764
2,47,0.340989777744443
2,48,0.400547863023334
2,49,0.308859190397806
2,50,0.346111934834686
2,51,0.270079751365381
2,52,0.425551678045076
2,53,0.28713340657467
2,54,0.351530871191338
2,55,0.356482693532459
2,56,0.340947196056068
2,57,0.618952785451359
2,58,0.452383623416256
2,59,0.397318347130365
2,60,0.472560827439898
2,61,0.355468615158194
2,62,0.375686623974166
2,63,0.335194497117787
2,64,0.346058631729023
2,65,0.404475806213314
2,66,0.219043435471196
2,67,0.543517953221723
2,68,0.401595125463346
2,69,0.358266631695692
2,70,0.331264217442931
2,71,0.405627082614349
2,72,0.492286867839132
2,73,0.582747882547704
2,74,0.42120524013856
2,75,0.403866235333623
2,76,0.394892762755819
2,77,0.440760326095453
2,78,0.454610450580158
2,79,0.472255588383798
2,80,0.275909989580826
2,81,0.367408120901279
2,82,0.264763406052062
2,83,0.414162087901212
2,84,0.382113491449929
2,85,0.303652125236296
2,86,0.47229321351766
2,87,0.378902590745806
2,88,0.321613638330314
2,89,0.304222081432813
2,90,0.350321129859725
2,91,0.297921669232818
2,92,0.372163874686623
2,93,0.365144168194556
2,94,0.365457493314196
2,95,0.269573323921215
2,96,0.471105991391514
2,97,0.41367634044926
2,98,0.430357246581394
2,99,0.419619402382871
2,100,0.463829978284366
2,101,0.557000472097817
2,102,0.644707922660539
2,103,0.695178382324692
2,104,0.742371299993303
2,105,0.514734511443036
2,106,0.49603062443516
2,107,0.336485544706732
2,108,0.316386435083523
2,109,0.480558579416426
2,110,0.400479756063128
2,111,0.40580079654641
2,112,0.43378514595505
2,113,0.239046079433031
2,114,0.285771052053603
2,115,0.329303412999528
2,116,0.290975638403422
2,117,0.360263283522231
2,118,0.27812108591792
2,119,0.262448771171082
2,120,0.252410658241131
2,121,0.390829079124795
2,122,0.361532875262749
2,123,0.259091123628682
2,124,0.317516334863709
2,125,0.377827518922747
2,126,0.275485409958161
2,127,0.31713272781305
2,128,0.278587368289944
2,129,0.275557684931674
2,130,0.246105155926099
2,131,0.591473642597051
2,132,0.338697970243952
2,133,0.53693768759903
2,134,0.544518029455357
2,135,0.488303193639925
2,136,0.461133417001468
2,137,0.300357942172841
2,138,0.342913634610534
2,139,0.544217203284501
2,140,0.351628349423898
2,141,0.363249801568857
2,142,0.333158269034775
2,143,0.288856648863051
2,144,0.212169936145445
2,145,0.287099233607656
2,146,0.263558364976597
2,147,0.355689714896838
2,148,0.363893708216042
2,149,0.4805786432454
2,150,0.329454942870242
2,151,0.312366059759516
2,152,0.348486076181786
2,153,0.285183600371914
2,154,0.147885264722729
2,155,0.241718486518469
2,156,0.31881122343168
2,157,0.21290733388583
2,158,0.360001854219728
2,159,0.273169568433628
2,160,0.253734323521803
2,161,0.22770407414904
2,162,0.324410159368088
2,163,0.312192396901852
2,164,0.374409411957792
2,165,0.440631304720631
2,166,0.321381933234574
2,167,0.278391099543552
2,168,0.26094837606588
2,169,0.362252101757768
2,170,0.24938920268029
2,171,0.225864168767681
2,172,0.420060690837942
2,173,0.285979813178716
2,174,0.392498104479364
2,175,0.33602127237489
2,176,0.337463982911131
2,177,0.328759692665237
2,178,0.316557267808997
2,179,0.366578479738479
2,180,0.275368850987374
2,181,0.467925873440918
2,182,0.471915894251071
2,183,0.456975613396682
2,184,0.371183053538552
2,185,0.317882528211276
2,186,0.433872823384391
2,187,0.250085889741311
2,188,0.203440265645578
2,189,0.353444710990098
2,190,0.344035936450612
2,191,0.0899613465509654
2,192,0.297957307667568
2,193,0.345735952283158
2,194,0.351169099690283
2,195,0.423572733481525
2,196,0.222360159208225
2,197,0.259726259844309
2,198,0.324802756993679
2,199,0.341932737082564
2,200,0.280398324363903
3,1,0.854353653386817
3,2,0.731740094339423
3,3,1
3,4,0.748460508592682
3,5,0.657768422956989
3,6,0.709291685118079
3,7,0.662622978993863
3,8,0.764841257140958
3,9,0.54651669475865
3,10,0.757504168574741
3,11,0.596552669981352
3,12,0.755576756384908
3,13,0.365548544359178
3,14,0.324771362908832
3,15,0.304173527793255
3,16,0.317187080732125
3,17,0.391631502316986
3,18,0.223626044510913
3,19,0.387789424002171
3,20,0.390026782065311
3,21,0.258099128904566
3,22,0.432076889488881
3,23,0.377670955316832
3,24,0.305424956463481
3,25,0.380185649417016
3,26,0.338008998887553
3,27,0.33466708824657
3,28,0.326751029442039
3,29,0.629752922281549
3,30,0.725421709710873
3,31,0.545526330152427
3,32,0.549600761612621
3,33,0.571780500746651
3,34,0.485878406801051
3,35,0.324149088960041
3,36,0.353520860758434
3,37,0.370936791501528
3,38,0.449702701425128
3,39,0.309858451334117
3,40,0.348573573379425
3,41,0.411757107447968
3,42,0.265711364404856
3,43,0.264285024246583
3,44,0.568089540471301
3,45,0.375735395999225
3,46,0.283228508373296
3,47,0.351112572738821
3,48,0.319051399725935
3,49,0.276494857391931
3,50,0.292225902237269
3,51,0.352089482885465
3,52,0.315023901564802
3,53,0.313635658865568
3,54,0.322003732448555
3,55,0.226947199906101
3,56,0.215399598455496
3,57,0.554796961755823
3,58,0.458502869772637
3,59,0.309879637628476
3,60,0.436721401638255
3,61,0.323019138939748
3,62,0.341237095927353
3,63,0.28979681396782
3,64,0.286897324265069
3,65,0.268437575619775
3,66,0.242556206781449
3,67,0.394656063130647
3,68,0.334307319118586
3,69,0.248849613740697
3,70,0.27358716802315
3,71,0.295914631112258
3,72,0.581236863044408
3,73,0.615916270123207
3,74,0.553886495455774
3,75,0.360481592511812
3,76,0.257425507794907
3,77,0.52051238290149
3,78,0.562535471704818
3,79,0.528304581136766
3,80,0.243108511101651
3,81,0.183476417478302
3,82,0.271955238970358
3,83,0.249397594098842
3,84,0.261167735211663
3,85,0.266164353575972
3,86,0.361497510891295
3,87,0.368936251559569
3,88,0.225343870095251
3,89,0.203697479636204
3,90,0.272403115068694
3,91,0.269144573954687
3,92,0.349553967825174
3,93,0.391877363276282
3,94,0.395104432478982
3,95,0.238770638079628
3,96,0.529336295428053
3,97,0.591907324017121
3,98,0.451398829780158
3,99,0.375907360467424
3,100,0.478037270235167
3,101,0.764154866132508
3,102,0.650583482098108
3,103,0.86990981707613
3,104,0.745577451286124
3,105,0.592507877843941
3,106,0.714582026625321
3,107,0.705741779116304
3,108,0.576085711520016
3,109,0.77412464835282
3,110,0.620633402210813
3,111,0.570625552737721
3,112,0.558196305801215
3,113,0.246383079579569
3,114,0.266697711415383
3,115,0.311731752189717
3,116,0.222025168900845
3,117,0.277816531410751
3,118,0.282027709759378
3,119,0.291393844685251
3,120,0.273784305308243
3,121,0.426436640149065
3,122,0.357286247178237
3,123,0.299999056640835
3,124,0.305233649062019
3,125,0.361219132459068
3,126,0.296804526737004
3,127,0.338707934819187
3,128,0.275321682920957
3,129,0.276014546417617
3,130,0.227782189693347
3,131,0.638949772116923
3,132,0.503454242040925
3,133,0.530258763453287
3,134,0.561471515901036
3,135,0.449848315851303
3,136,0.548115006033525
3,137,0.346165420167964
3,138,0.350131857401151
3,139,0.527020085800419
3,140,0.318703572185978
3,141,0.286460873954103
3,142,0.427618424999571
3,143,0.244933633270586
3,144,0.282191932300337
3,145,0.257115722146865
3,146,0.224819940119943
3,147,0.307922448409417
3,148,0.360107900352863
3,149,0.502102146712524
3,150,0.370615802134306
3,151,0.288990696309843
3,152,0.220048162353837
3,153,0.24811444363024
3,154,0.207526775107695
3,155,0.201104981865226
3,156,0.259799968565978
3,157,0.112837889162666
3,158,0.328463823741128
3,159,0.143998534470671
3,160,0.214046753114712
3,161,0.249314785435137
3,162,0.333522695578263
3,163,0.355499046451506
3,164,0.497431909057695
3,165,0.471283745913669
3,166,0.394410102178818
3,167,0.184231910368236
3,168,0.215609321638101
3,169,0.168870896029044
3,170,0.257233361864884
3,171,0.212545008392284
3,172,0.340522238917574
3,173,0.321570140700395
3,174,0.410095958638166
3,175,0.230574514935527
3,176,0.189449940834001
3,177,0.333598792969639
