Region1,Region2,Median_Correlation_MCI,Median_Correlation_CN
1,78,0.564123644623227,0.588858219255501
1,79,0.537347678384316,0.584754656433622
1,80,0.0937747509647874,0.219134020367441
1,81,0.406580182675378,0.236146905113008
1,82,0.12380779866636,0.218261544292269
1,83,0.38463436717591,0.332717259568002
1,84,0.175024539030371,0.301238169988284
1,85,0.374834097019117,0.388687975559223
1,86,0.539365294602475,0.490305560790999
1,87,0.486676098592797,0.426964093803825
1,88,0.294211789614279,0.219443560276456
1,89,0.29733032741245,0.241300146853385
1,90,0.434358977499633,0.254916418697023
1,91,NaN,0.249173063290673
1,92,0.358358873159094,0.355942071801677
1,93,0.465318380289466,0.395730969040677
1,94,0.573353646894712,0.401870655164349
1,95,0.533150646495689,0.317816738199454
1,96,0.501918131836351,0.628544504414804
1,97,0.59495711790014,0.700376739664137
1,98,0.558796172672733,0.563786797214392
1,99,0.626711193832009,0.511531932490555
1,100,0.650920140915576,0.548212113195215
1,101,0.857908566578681,0.839494620957554
1,102,0.688690734473698,0.671002819039612
1,103,0.767200960430468,0.798475765894685
1,104,0.674171944038343,0.635125373620834
1,105,0.658527212646816,0.602065014197363
1,106,0.660608696409247,0.672395766048546
1,107,0.811924450595799,0.753932918388472
1,108,0.626946771024244,0.623292665124377
1,109,0.755881660229638,0.76997556842805
1,110,0.615354587415852,0.627368203236037
1,111,0.650093762831274,0.641742012246667
1,112,0.543884070947054,0.621055208914514
1,113,0.374371264123739,0.31453625878538
1,114,0.400478588404638,0.291637197234226
1,115,0.419922964030518,0.398619707648676
1,116,0.42215120377807,0.285988249230197
1,117,0.401939557985826,0.400249077027561
1,118,0.43118989076014,0.23944488527776
1,119,0.392956592550271,0.360942900797176
1,120,NaN,0.25980816533884
1,121,NaN,0.510016038390991
1,122,0.496343354505091,0.391431426317269
1,123,NaN,0.378123684894287
1,124,0.471203198704077,0.292102024609881
1,125,0.576855945558721,0.377221463826997
1,126,0.353366977177284,0.302600949012561
1,127,0.317360199099709,0.434644454267935
1,128,0.447980232711803,0.290966970587865
1,129,0.396203144523116,0.317231179347025
1,130,0.338731252940916,0.211844682437584
1,131,0.734132904405219,0.66264975212109
1,132,0.643643846192633,0.52029721730759
1,133,0.667351185307715,0.602071601226645
1,134,0.576547886883036,0.668360516308208
1,135,0.534177732241322,0.461717560548641
1,136,0.615260596375837,0.584918559535722
1,137,0.324105783953848,0.355429014867856
1,138,0.371806341859071,0.374545859014392
1,139,0.63380686268028,0.600498038160379
1,140,NaN,0.421319343188772
1,141,0.304462251360829,0.302307944849099
1,142,0.440791194496936,0.435996445658837
1,143,0.310149160704458,0.21128030603815
1,144,0.305253580838431,0.268302402674887
1,145,0.394565348252884,0.272956553751828
1,146,0.339970980424078,0.206402766284729
1,147,0.447455569321129,0.46855685258948
1,148,0.48060237283048,0.453205964246761
1,149,0.533465200512676,0.5921127187309
1,150,0.567918211967396,0.452066672442764
1,151,0.406798433474538,0.281394164323276
1,152,0.308533575236057,0.203687033176492
1,153,0.330493708577238,0.234621185051298
1,154,0.273552979890028,0.225749231873028
1,155,0.288685939607187,0.157690684635948
1,156,0.304480558505224,0.232330639637083
1,157,0.284498440345631,0.0986502909736463
1,158,0.419569287128231,0.42518644597573
1,159,0.196990645023597,0.190410684317954
1,160,0.412684318337993,0.166024687970937
1,161,0.346119313231274,0.216594897858125
1,162,0.310085571002087,0.322497752348471
1,163,0.383755054397536,0.344395763586165
1,164,0.658111338250084,0.551407591778188
1,165,0.537605320632091,0.45207960574409
1,166,0.469002312115897,0.374246031824581
1,167,0.422135765079933,0.245012859573447
1,168,0.342391720744425,0.223691486868902
1,169,0.358889929286981,0.174099957501832
1,170,0.296860324873704,0.280685509533744
1,171,0.289576407769499,0.163623449226305
1,172,0.399712578382622,0.389724515885094
1,173,0.502084563018224,0.368070579844067
1,174,0.489214340168938,0.314248357834173
1,175,0.269972603341356,0.192344302405749
1,176,0.34766675956515,0.234487266263282
1,177,0.430354134660718,0.31014498870065
1,178,0.269915006304574,0.26612518512193
1,179,0.423885411825882,0.423707704009908
1,180,0.31161267604947,0.229573965089506
1,181,0.606855939808531,0.632700570107769
1,182,0.569393505878391,0.586574832955843
1,183,0.567580416212121,0.539714442684251
1,184,0.535782667051142,0.470242880283448
1,185,0.290340527747364,0.222993893311912
1,186,0.596658513850117,0.615661323416544
1,187,0.0754273660038317,0.174961212189537
1,188,0.168017661035577,0.14835029096391
1,189,0.243810032421226,0.244743365202472
1,190,0.427374874955728,0.281720241862581
1,191,0.387526430445465,0.20309208972963
1,192,0.281584381064981,0.271311405916307
1,193,0.444756421512872,0.219050501388012
1,194,0.551012473449368,0.442514983639346
1,195,0.635591095470724,0.656883858690004
1,196,0.549970359578853,0.515827335066519
1,197,0.411708263116415,0.180111385597657
1,198,0.485110056239747,0.412553493850096
1,199,0.597129766689534,0.415162289898622
1,200,0.608734264773722,0.425675024262119
2,1,0.748817642167056,0.743476176697767
2,2,1,1
2,3,0.748126779046744,0.731740094339423
2,4,0.749090701762087,0.744647598574677
2,5,0.688041857663578,0.682093323963276
2,6,0.466559865944385,0.523874089196421
2,7,0.403085380277926,0.496677251133861
2,8,0.416137603803632,0.451877413472235
2,9,0.313344760781596,0.393387588473318
2,10,0.391328991310217,0.458382746241141
2,11,0.302627746359402,0.391366666448358
2,12,0.424957569372956,0.573399268100673
2,13,0.2827583066741,0.379562304813774
2,14,0.120612743749474,0.358447786589661
2,15,0.201232034474416,0.312265072162634
2,16,0.239755899765362,0.325677883273374
